"id","name","region","federal_district","population","foundation_year","status","old_name","latitude","longitude"
"786","Приозерск","Ленинградская область","Северо-Западный","18777","XII век","1310","Корела (до 1580, с 1595 до 1611); Кексгольм (с 1580 до 1595, с 1611 до 1918, с 1940 до 1948); Кякисалми (с 1918 до 1940)","61.0385285","30.1248482"
"787","Прокопьевск","Кемеровская область","Сибирский","177819","1650","1931","Монастырское","53.8879117","86.7492072"
"788","Пролетарск","Ростовская область","Южный","18983","XVII век","1970","Великокняжеская (до 1925); Пролетарская (до 1970)","46.700161","41.724079"
"789","Протвино","Московская область","Центральный","37735","1960","1989","Серпухов-7","54.8707703","37.2188629"
"790","Прохладный","Кабардино-Балкария","Северо-Кавказский","59938","1765","1937","Прохладная (до 1937)","43.7590017","44.0103981"
"791","Псков","Псковская область","Северо-Западный","193082","903","903","Плесков","57.8173923","28.3343465"
"792","Пугачёв","Саратовская область","Приволжский","40127","1764","1835","Николаевск (до 1918)","52.0121253","48.8109795"
"793","Пудож","Карелия","Северо-Западный","7356","1382","1785","","61.808434","36.536045"
"794","Пустошка","Псковская область","Северо-Западный","4070","1901","1925","","56.3350632","29.3684565"
"795","Пучеж","Ивановская область","Центральный","6879","1594","1793","","56.9820977","43.168062"
"796","Пушкино","Московская область","Центральный","110868","1499","1925","","56.0104274","37.8461892"
"797","Пущино","Московская область","Центральный","19578","1956","1966","","54.8347213","37.6139685"
"798","Пыталово","Псковская область","Северо-Западный","5263","1782","1933","Яунлатгале (с 1925 до 1938); Абрене (до 1945)","57.062908","27.921061"
"799","Пыть-Ях","Ханты-Мансийский АО","Уральский","40180","1968","1990","","60.755116","72.839981"
"800","Пятигорск","Ставропольский край","Северо-Кавказский","146473","1780","1830","Горячие Воды, Константиногорск","44.039775","43.0706669"
"801","Радужный","Владимирская область","Центральный","17569","1971","1991","Владимир-30","55.9939587","40.3294411"
"802","Радужный","Ханты-Мансийский АО","Уральский","43577","1973","1985","","62.135315","77.462616"
"803","Райчихинск","Амурская область","Дальневосточный","15797","1932","1944","Райчиха","49.796788","129.4030842"
"804","Раменское","Московская область","Центральный","114537","1328","1926","Раменье","55.5709361","38.2282099"
"805","Рассказово","Тамбовская область","Центральный","47644","1698","1926","","52.658699","41.879002"
"806","Ревда","Свердловская область","Уральский","60200","1734","1935","","56.8000651","59.9086688"
"807","Реж","Свердловская область","Уральский","36585","1773","1943","","57.370647","61.4042865"
"808","Реутов","Московская область","Центральный","113871","1573","1940","Реутово (до 1940)","55.7622453","37.856555"
"809","Ржев","Тверская область","Центральный","55757","1216","1216","Ржева Володимирова, Ржевка, Ржов","56.2565207","34.328649"
"810","Родники","Ивановская область","Центральный","24101","1606","1918","","57.105225","41.72839"
"811","Рославль","Смоленская область","Центральный","45416","1137","1755","Ростиславль","53.9448028","32.8478857"
"812","Россошь","Воронежская область","Центральный","60879","XVII век","1923","","50.1961874","39.5764857"
"813","Ростов Великий","Ярославская область","Центральный","28122","862","862","Ростов (до 2025)","57.2012699","39.4221813"
"814","Ростов-на-Дону","Ростовская область","Южный","1142162","1749","1807","Темерницкая таможня, Темерницкое городище","47.2216548","39.7096061"
"815","Рошаль","Московская область","Центральный","21401","1916","1940","Крестов Брод (до 1917)","55.6583239","39.8717137"
"816","Ртищево","Саратовская область","Приволжский","37850","1666","1925","Покровское (до 1723)","52.2599057","43.7877429"
"817","Рубцовск","Алтайский край","Сибирский","126834","1892","1927","Рубцово (до 1922)","51.5276264","81.2176174"
"818","Рудня","Смоленская область","Центральный","8908","1363","1926","","54.9471458","31.0906286"
"819","Руза","Московская область","Центральный","16014","1328","1781","","55.6998907","36.1946992"
"820","Рузаевка","Мордовия","Приволжский","42989","1631","1973","","54.058735","44.954391"
"821","Рыбинск","Ярославская область","Центральный","177295","1071","1777","Усть-Шексна (до 1504); Рыбная слобода (до 1777); Щербаков (с 1946 до 1957); Андропов (с 1984 до 1989)","58.0489536","38.8558908"
"822","Рыбное","Рязанская область","Центральный","21069","1597","1961","","54.7268415","39.5088612"
"823","Рыльск","Курская область","Центральный","15069","1152","XII век","","51.570538","34.683506"
"824","Ряжск","Рязанская область","Центральный","20634","1502","1778","Рясское Поле","53.708878","40.062984"
"825","Рязань","Рязанская область","Центральный","528599","1095","1095","Переяславль-Рязанский (до 1778)","54.6295687","39.7425039"
"826","Саки","Крым","Южный","24285","1952","1952","Сак","45.1326071","33.5949272"
"827","Салават","Башкортостан","Приволжский","148575","1948","1954","Новострой","53.361687","55.924641"
"828","Салаир","Кемеровская область","Сибирский","7088","1626","1941","","54.232521","85.798386"
"829","Салехард","Ямало-Ненецкий АО","Уральский","47910","1595","1938","Обдорск (до 1933)","66.5298656","66.6146311"
"830","Сальск","Ростовская область","Южный","57937","1812","1926","Торговая (до 1918); Торговый (до 1926)","46.476669","41.541008"
"831","Самара","Самарская область","Приволжский","1173299","1586","1688","Куйбышев (с 1935 по 1991)","53.1956255","50.1014927"
"832","Санкт-Петербург","Санкт-Петербург","Северо-Западный","5601911","1703","1703","Петроград (с 1914 до 1924); Ленинград (до 1991)","59.938732","30.316229"
"833","Саранск","Мордовия","Приволжский","314871","1641","1780","Саранский Острожек","54.18671","45.18383"
"834","Сарапул","Удмуртия","Приволжский","91115","1621","1780","Вознесенское (до 1707)","56.4774374","53.8194777"
"835","Саратов","Саратовская область","Приволжский","901361","1590","1590","","51.530018","46.034683"
"836","Саров","Нижегородская область","Приволжский","93357","1691","1954","Арзамас-75 (до 1966); Арзамас-16 (до 1994); Кремлёвск (до 1995)","54.9372324","43.2846453"
"837","Сасово","Рязанская область","Центральный","21628","1642","1926","","54.35392","41.926643"
"838","Сатка","Челябинская область","Уральский","42597","1758","1758","","55.0450851","58.9887256"
"839","Сафоново","Смоленская область","Центральный","38403","1859","1952","","55.1084278","33.2376513"
