"id","name","region","federal_district","population","foundation_year","status","old_name","latitude","longitude"
"292","Железногорск","Курская область","Центральный","97038","1957","1962","Октябрьский (до 1958)","52.3389459","35.3511755"
"293","Железногорск-Илимский","Иркутская область","Сибирский","21621","1948","1965","Коршуниха (до 1958); Железногорск (до 1965)","56.577915","104.12294"
"294","Жердевка","Тамбовская область","Центральный","13883","1745","1954","Чибизовка (до 1954)","51.843933","41.470367"
"295","Жигулёвск","Самарская область","Приволжский","50466","1949","1952","","53.4005122","49.4955657"
"296","Жиздра","Калужская область","Центральный","5545","1146","1777","","53.7485337","34.7353545"
"297","Жирновск","Волгоградская область","Южный","15555","XVIII век","1958","Жирное (до 1954); Жирновский (до 1958)","50.978779","44.778908"
"298","Жуков","Калужская область","Центральный","16224","XVII век","1996","Угодский Завод (до 1974); Жуково (до 1996)","55.0338","36.7489"
"299","Жуковка","Брянская область","Центральный","17628","1871","1962","","53.5329608","33.7320863"
"300","Жуковский","Московская область","Центральный","111222","1935","1947","Стаханово (до 1947)","55.5972801","38.1199863"
"301","Завитинск","Амурская область","Дальневосточный","9615","1906","1954","Завитая (до 1954)","50.111154","129.4402341"
"302","Заводоуковск","Тюменская область","Уральский","27100","1729","1960","Уковская (до 1787); Заводоуковское (до 1939)","56.509293","66.539261"
"303","Заволжск","Ивановская область","Центральный","8896","XIX век","1954","Владычное (до 1934); Заволжье (до 1954)","57.4909934","42.13964"
"304","Заволжье","Нижегородская область","Приволжский","36763","1947","1964","Пестово","56.639992","43.399353"
"305","Задонск","Липецкая область","Центральный","9887","1615","1779","","52.387798","38.92672"
"306","Заинск","Татарстан","Приволжский","39739","1656","1978","","55.2866509","52.0056047"
"307","Закаменск","Бурятия","Сибирский","11365","1934","1944","Джидастрой (до 1944); Городок (до 1959)","50.3778","103.2915"
"308","Заозёрный","Красноярский край","Сибирский","10573","1776","1948","Троицкоозёрское, Троицко-Заозёрное","55.965401","94.708107"
"309","Заозёрск","Мурманская область","Северо-Западный","7762","1958","1958","Заозёрный (до 1981); Североморск-7 (до 1994); Мурманск-150 (до 1994); Западная Лица (до 1994)","69.400925","32.441334"
"310","Западная Двина","Тверская область","Центральный","7869","1900","1937","","56.2588287","32.0707122"
"311","Заполярный","Мурманская область","Северо-Западный","14791","1956","1963","","69.426239","30.819939"
"312","Зарайск","Московская область","Центральный","20736","1146","1778","","54.7585694","38.8818137"
"313","Заречный","Пензенская область","Приволжский","58510","1958","1958","Пенза-19 (до 1992)","53.196014","45.169273"
"314","Заречный","Свердловская область","Уральский","28112","1955","1992","","56.8149706","61.3205936"
"315","Заринск","Алтайский край","Сибирский","41272","1748","1979","Заринский, Сорокино","53.707915","84.9348606"
"316","Звенигово","Марий Эл","Приволжский","10994","1860","1974","Чекуры, Звенижский","55.9718239","48.016105"
"317","Звенигород","Московская область","Центральный","35842","1152","1781","","55.7293613","36.8585382"
"318","Зверево","Ростовская область","Южный","19353","1819","1989","","48.020645","40.118561"
"319","Зеленогорск","Красноярский край","Сибирский","54279","1956","1956","Усть-Барга, Заозёрный-13, Красноярск-45","56.11356","94.589279"
"320","Зеленоградск","Калининградская область","Северо-Западный","16625","1252","1947","Кранц (до 1946)","54.9600365","20.4750188"
"321","Зеленодольск","Татарстан","Приволжский","99137","1865","1932","Кабачищи (до 1897); Паратск (до 1928); Зелёный Дол (до 1932)","55.8477605","48.5097031"
"322","Зеленокумск","Ставропольский край","Северо-Кавказский","33187","1781","1965","Воронцово-Александровское (до 1963); Советское (до 1965)","44.403175","43.884163"
"323","Зерноград","Ростовская область","Южный","24076","1929","1951","Зерновой (до 1960)","46.844845","40.304813"
"324","Зея","Амурская область","Дальневосточный","19414","1879","1907","Зейский Склад (до 1906); Зея-Пристань (до 1913)","53.7403584","127.2716246"
"325","Зима","Иркутская область","Сибирский","30640","1743","1922","Мироново, Зиминское","53.9211241","102.0491543"
"326","Златоуст","Челябинская область","Уральский","161774","1754","1865","Златоустовский завод (до 1811)","55.1674213","59.6792625"
"327","Злынка","Брянская область","Центральный","5270","1702","1925","","52.4274018","31.7371106"
"328","Змеиногорск","Алтайский край","Сибирский","9410","1736","1952","","51.1544658","82.1979928"
"329","Знаменск","Астраханская область","Южный","24628","1948","1962","Капустин Яр-1 (до 1993)","48.588829","45.725632"
"330","Зубцов","Тверская область","Центральный","6217","1216","1216","","56.170071","34.585182"
"331","Зуевка","Кировская область","Приволжский","9767","1899","1944","","58.4060241","51.1388605"
"332","Ивангород","Ленинградская область","Северо-Западный","9861","1492","1954","","59.3744139","28.2192542"
"333","Иваново","Ивановская область","Центральный","361644","1561","1871","Иваново-Вознесенск (до 1932)","56.9956855","40.9812104"
"334","Ивантеевка","Московская область","Центральный","82827","1564","1938","","55.9714098","37.9200739"
"335","Ивдель","Свердловская область","Уральский","14306","1831","1943","Никито-Ивдель","60.6973287","60.4172583"
"336","Игарка","Красноярский край","Сибирский","3634","1929","1931","","67.4566185","86.5308425"
"337","Ижевск","Удмуртия","Приволжский","623472","1760","1918","Ижевский завод (до 1918); Устинов (с 1984 до 1987)","56.866557","53.2094166"
"338","Избербаш","Дагестан","Северо-Кавказский","55996","1932","1949","","42.5710804","47.862999"
"339","Изобильный","Ставропольский край","Северо-Кавказский","38614","1895","1965","Изобильно-Тищенский (до 1935); Изобильное (до 1965)","45.3740796","41.7121154"
"340","Иланский","Красноярский край","Сибирский","15945","1646","1939","","56.23806","96.06694"
"341","Инза","Ульяновская область","Приволжский","16293","1897","1946","","53.8579402","46.3573236"
"342","Иннополис","Татарстан","Приволжский","3955","2012","2015","","55.7522117","48.7445682"
"343","Инсар","Мордовия","Приволжский","7920","1648","1780","","53.867741","44.371407"
"344","Инта","Коми","Северо-Западный","20271","1940","1954","","66.0401498","60.1313631"
"345","Ипатово","Ставропольский край","Северо-Кавказский","26122","1860","1979","Чемрек (до 1880); Винодельное (до 1935)","45.719723","42.916286"
"346","Ирбит","Свердловская область","Уральский","37009","1631","1775","","57.674042","63.063778"
"347","Иркутск","Иркутская область","Сибирский","606369","1661","1686","Яндашский острог, Иркутский острог","52.2891225","104.279829"
"348","Исилькуль","Омская область","Сибирский","20515","1895","1945","Исиль-Куль","54.904892","71.259987"
"349","Искитим","Новосибирская область","Сибирский","57147","1717","1938","","54.6426269","83.3035676"
"350","Истра","Московская область","Центральный","37474","1589","1781","Сафатово (до 1636); Воскресенское (до 1781); Воскресенск (до 1930)","55.9145993","36.8595482"
"351","Ишим","Тюменская область","Уральский","67614","1687","1782","Коркина слобода (до 1782)","56.1092126","69.457152"
"352","Ишимбай","Башкортостан","Приволжский","64041","1932","1940","","53.4546454","56.0439119"
"353","Йошкар-Ола","Марий Эл","Приволжский","281248","1584","1781","Царевококшайск (до 1919); Краснококшайск (до 1928)","56.6315556","47.8868803"
"354","Кадников","Вологодская область","Северо-Западный","4106","1492","1780","","59.5014752","40.340584"
"355","Казань","Татарстан","Приволжский","1308660","1005","1005","","55.7823547","49.1242266"
"356","Калач","Воронежская область","Центральный","17624","1716","1945","","50.4259519","41.0161721"
"357","Калач-на-Дону","Волгоградская область","Южный","24277","1708","1951","Калач (до 1951)","48.6818764","43.5379998"
"358","Калачинск","Омская область","Сибирский","21378","1952","1918","Калачики, Калач","55.049091","74.582428"
"359","Калининград","Калининградская область","Северо-Западный","490449","1255","1255","Твангсте (до 1255); Кёнигсберг (до 1946)","54.710128","20.5105838"
"360","Калининск","Саратовская область","Приволжский","14949","1680","1962","Баланда (до 1962)","51.499947","44.484581"
"361","Калтан","Кемеровская область","Сибирский","21752","1946","1959","","53.519459","87.286179"
"362","Калуга","Калужская область","Центральный","337058","1371","1371","","54.5101087","36.2598115"
"363","Калязин","Тверская область","Центральный","12621","1434","1775","","57.2400206","37.8404883"
"364","Камбарка","Удмуртия","Приволжский","10080","1767","1945","","56.2652515","54.1945613"
"365","Каменка","Пензенская область","Приволжский","33491","XVIII век","1951","","53.1850012","44.0529066"
"366","Каменногорск","Ленинградская область","Северо-Западный","7160","1597","1940","Антреа (до 1948)","60.9526102","29.1303401"
"367","Каменск-Уральский","Свердловская область","Уральский","164192","1682","1935","Железенское поселье (до 1699); Каменская слобода (до 1701); Каменский Завод (до 1935); Каменск (до 1940)","56.415451","61.917797"
"368","Каменск-Шахтинский","Ростовская область","Южный","86365","1671","1927","Каменская (до 1927); Каменск (до 1929)","48.3210807","40.2650679"
"369","Камень-на-Оби","Алтайский край","Сибирский","32385","1751","1915","Камень (до 1933)","53.7936761","81.3516358"
"370","Камешково","Владимирская область","Центральный","12028","1892","1951","Авдотьино","56.3462575","40.997098"
"371","Камызяк","Астраханская область","Южный","16154","1560","1973","","46.120527","48.0815617"
"372","Камышин","Волгоградская область","Южный","107927","1668","1780","Дмитриевск (до 1780)","50.0808422","45.4048003"
"373","Камышлов","Свердловская область","Уральский","27117","1668","1781","Камышенский острог, Камышевская слобода, Камышловская слобода","56.846161","62.712154"
"374","Канаш","Чувашия","Приволжский","44354","1588","1925","Шихраны (до 1925)","55.5148161","47.4986307"
"375","Кандалакша","Мурманская область","Северо-Западный","29138","1517","1938","","67.1507901","32.4082716"
"376","Канск","Красноярский край","Сибирский","86816","1636","1782","","56.205997","95.706787"
"377","Карабаново","Владимирская область","Центральный","13150","1630","1938","","56.3084431","38.6981274"
"378","Карабаш","Челябинская область","Уральский","10514","1822","1933","Соймановский","55.4885688","60.2028784"
"379","Карабулак","Ингушетия","Северо-Кавказский","43037","1859","1995","Карабулакская (до 1962)","43.3094909","44.910334"
"380","Карасук","Новосибирская область","Сибирский","24890","1912","1954","","53.73447","78.032372"
"381","Карачаевск","Карачаево-Черкесия","Северо-Кавказский","23867","1926","1929","Микоян-Шахар (до 1943); Клухори (до 1957)","43.7715594","41.911979"
"382","Карачев","Брянская область","Центральный","17449","1146","1146","Корачев","53.1221822","34.9825906"
"383","Каргат","Новосибирская область","Сибирский","8316","XVIII век","1965","","55.1929899","80.2828252"
"384","Каргополь","Архангельская область","Северо-Западный","8849","1447","1613","","61.509121","38.940796"
"385","Карпинск","Свердловская область","Уральский","25879","1759","1941","Богословск (до 1933); Угольный (до 1941)","59.7667893","60.0009267"
"386","Карталы","Челябинская область","Уральский","27103","1810","1944","Полтавский, Полтавка","53.053261","60.639172"
"387","Касимов","Рязанская область","Центральный","28443","1152","1152","Городец Мещёрский (до 1376); Новый Низовой Город (до 1471)","54.939693","41.39518"
"388","Касли","Челябинская область","Уральский","15383","1747","1942","Каслинский","55.8904193","60.7538518"
"389","Каспийск","Дагестан","Северо-Кавказский","121140","1932","1947","Двигательстрой (до 1947)","42.8881414","47.6424676"
"390","Катав-Ивановск","Челябинская область","Уральский","14663","1755","1938","Катав-Ивановский Завод","54.753479","58.205784"
"391","Катайск","Курганская область","Уральский","11881","1655","1944","","56.2834992","62.5836525"
"392","Качканар","Свердловская область","Уральский","37307","1957","1968","","58.6981697","59.4810114"
"393","Кашин","Тверская область","Центральный","14113","1238","1238","","57.361755","37.611454"
"394","Кашира","Московская область","Центральный","45922","1356","1777","","54.837449","38.1505119"
"395","Кедровый","Томская область","Сибирский","1818","1982","1987","","57.56192","79.570801"
"396","Кемерово","Кемеровская область","Сибирский","557119","1701","1918","Щеглово (до 1918); Щеглов (до 1924); Щегловск (до 1932)","55.3550907","86.0871213"
"397","Кемь","Карелия","Северо-Западный","10018","XIV век","1785","","64.9550895","34.5697446"
"398","Керчь","Крым","Южный","154621","VII—VI век до н. э.","","Черкио, Воспоро, Корчев, Боспор, Пантикапей","45.3606513","36.434392"
"399","Кизел","Пермский край","Приволжский","15619","1750","1926","Кизеловский завод","59.049252","57.6535"
"400","Кизилюрт","Дагестан","Северо-Кавказский","38335","1927","1963","Красный, Кизил-Юрт","43.1999049","46.8713343"
"401","Кизляр","Дагестан","Северо-Кавказский","49999","1735","1785","","43.8546727","46.7139329"
"402","Кимовск","Тульская область","Центральный","26475","XVII век","1952","Михайловский (до 1948)","53.9699","38.5327"
"403","Кимры","Тверская область","Центральный","40875","1546","1917","","56.8734395","37.3556968"
"404","Кингисепп","Ленинградская область","Северо-Западный","49716","1384","1784","Ям (до 1703); Ямбург (до 1922)","59.3743982","28.5981591"
"405","Кинель","Самарская область","Приволжский","36729","1837","1944","","53.219738","50.633228"
"406","Кинешма","Ивановская область","Центральный","77694","1429","1504","","57.4426901","42.1687834"
"407","Киреевск","Тульская область","Центральный","25560","1762","1956","Киреевка","53.926712","37.929916"
"408","Киренск","Иркутская область","Сибирский","10998","1630","1775","Никольский погост, Усть-Киренск","57.776356","108.116295"
"409","Киржач","Владимирская область","Центральный","27318","1332","1778","","56.1592229","38.8721255"
"410","Кириллов","Вологодская область","Северо-Западный","7149","1397","1776","","59.8590575","38.3758696"
"411","Кириши","Ленинградская область","Северо-Западный","51028","1693","1965","Киреши, Киреш","59.450325","32.010578"
"412","Киров","Калужская область","Центральный","28097","1745","1936","Песочня (до 1936)","54.0742905","34.3025979"
"413","Киров","Кировская область","Приволжский","468212","1181","1181","Хлынов (до 1780); Вятка (до 1934)","58.6035661","49.6666241"
"414","Кировград","Свердловская область","Уральский","18698","1661","1932","Калата (до 1936)","57.4264892","60.0664537"
"415","Кирово-Чепецк","Кировская область","Приволжский","66651","1935","1955","Усть-Чепца (до 1942); Кирово-Чепецкий (до 1952)","58.555069","50.0313048"
"416","Кировск","Ленинградская область","Северо-Западный","27238","1931","1953","Невдубрстрой (до 1953)","59.8813954","30.9855331"
"417","Кировск","Мурманская область","Северо-Западный","24857","1929","1931","Хибиногорск (до 1934)","67.6151331","33.6637527"
"418","Кирс","Кировская область","Приволжский","8982","1729","1965","","59.3398971","52.2418232"
"419","Кирсанов","Тамбовская область","Центральный","16164","1702","1779","","52.654755","42.72496"
"420","Киселёвск","Кемеровская область","Сибирский","83431","1917","1936","","54.0049872","86.6354771"
"421","Кисловодск","Ставропольский край","Северо-Кавказский","127521","1803","1903","Кисловодская (до 1903)","43.9055311","42.7157283"
"422","Клин","Московская область","Центральный","88511","1317","1781","","56.3355601","36.7351318"
"423","Клинцы","Брянская область","Центральный","63059","1707","1925","","52.758511","32.240097"
"424","Княгинино","Нижегородская область","Приволжский","6447","1569","1998","Княгинин (до 1925)","55.821281","45.031601"
"425","Ковдор","Мурманская область","Северо-Западный","15770","1953","1965","","67.563049","30.474108"
"426","Ковров","Владимирская область","Центральный","132417","XII век","1778","","56.374603","41.311676"
"427","Ковылкино","Мордовия","Приволжский","19793","1892","1960","Воскресенская Лашма, Лашма, Кашаево, Арапово","54.0380912","43.9156202"
"428","Когалым","Ханты-Мансийский АО","Уральский","61441","1975","1985","Когалымский","62.26798","74.4889068"
"429","Кодинск","Красноярский край","Сибирский","13324","1977","1989","","58.6027015","99.1887515"
"430","Козельск","Калужская область","Центральный","16759","XII век","1146","","54.037102","35.780102"
"431","Козловка","Чувашия","Приволжский","7781","1671","1967","","55.8414764","48.2484231"
"432","Козьмодемьянск","Марий Эл","Приволжский","19731","1583","1781","","56.3324346","46.5462855"
"433","Кола","Мурманская область","Северо-Западный","9016","1517","1965","","68.880638","33.019726"
"434","Кологрив","Костромская область","Центральный","2468","XVII век","1778","","58.825497","44.311275"
"435","Коломна","Московская область","Центральный","134850","1177","1177","","55.0938743","38.7670121"
"436","Колпашево","Томская область","Сибирский","20824","XVII век","1938","","58.313667","82.903557"
"437","Колтуши","Ленинградская область","Северо-Западный","14052","1500","2023","","59.9330041","30.6548998"
"438","Кольчугино","Владимирская область","Центральный","39410","1871","1931","","56.2939784","39.3759931"
"439","Коммунар","Ленинградская область","Северо-Западный","25793","1843","1993","Антропшино, Царская Славянка, Павловская Славянка, посёлок при фабрике Роджерса и Пейффера","59.619488","30.3931186"
"440","Комсомольск","Ивановская область","Центральный","8364","1931","1950","","57.027321","40.377602"
"441","Комсомольск-на-Амуре","Хабаровский край","Дальневосточный","238505","1860","1932","Пермское","50.5497277","137.0099189"
"442","Конаково","Тверская область","Центральный","33560","1806","1937","Кузнецово (до 1929)","56.7131572","36.7775654"
"443","Кондопога","Карелия","Северо-Западный","25851","1563","1938","","62.20929","34.268185"
"444","Кондрово","Калужская область","Центральный","15734","1615","1938","Кондырево (до 1938)","54.8069199","35.9301213"
"445","Константиновск","Ростовская область","Южный","17207","1593","1967","Константиновская (до 1941); Константиновский (до 1967)","47.582352","41.097084"
"446","Копейск","Челябинская область","Уральский","147806","1907","1933","Тугайкуль (до 1907), Челябинские копи, Государственные Копи (до 1928), Копи, Челябкопи (до 1933)","55.1131951","61.6216332"
"447","Кораблино","Рязанская область","Центральный","10334","1676","1965","Кораблинск","53.9268971","40.034462"
"448","Кореновск","Краснодарский край","Южный","41826","1794","1961","Кореновская (до 1961)","45.4635863","39.4487565"
"449","Коркино","Челябинская область","Уральский","37224","1795","1942","Коркина, Коркинский","54.889923","61.407963"
"450","Королёв","Московская область","Центральный","228095","1938","1938","Подлипки (до 1928); Калининский (до 1938); Калининград (до 1996)","55.9190049","37.8150443"
"451","Короча","Белгородская область","Центральный","5623","1637","1638","","50.810741","37.195316"
"452","Корсаков","Сахалинская область","Дальневосточный","33950","1853","1946","Муравьёвский пост (до 1854); Корсаковский пост (до 1905) Отомари (до 1946)","46.632815","142.7810147"
"453","Коряжма","Архангельская область","Северо-Западный","34523","1535","1985","","61.3152522","47.1607291"
"454","Костерёво","Владимирская область","Центральный","7113","1890","1981","","55.9287862","39.6201571"
"455","Костомукша","Карелия","Северо-Западный","26048","1977","1983","","64.5873013","30.5969076"
"456","Кострома","Костромская область","Центральный","267481","1152","1152","","57.7679158","40.9269141"
"457","Котельники","Московская область","Центральный","63728","XVII век","2004","","55.661668","37.8673073"
"458","Котельниково","Волгоградская область","Южный","22016","1897","1955","Котельниковская (до 1929); Котельниковский (до 1955)","47.6332274","43.14109"
"459","Котельнич","Кировская область","Приволжский","20144","1143","1780","Кокшаров","58.3053524","48.3372596"
"460","Котлас","Архангельская область","Северо-Западный","56093","1617","1917","Кодлас","61.252151","46.647629"
"461","Котово","Волгоградская область","Южный","21028","1710-е","1966","","50.322208","44.801643"
"462","Котовск","Тамбовская область","Центральный","26694","1940","1940","Пороховой Завод (до 1918); Ударный (до 1919); Красный Боевик (до 1940)","52.5870419","41.4994249"
"463","Кохма","Ивановская область","Центральный","30940","1619","1925","","56.9315448","41.0939402"
"464","Красавино","Вологодская область","Северо-Западный","5601","1848","1947","","60.9617195","46.4778243"
"465","Красноармейск","Московская область","Центральный","26492","1928","1947","Муромцево (до 1928); Краснофлотский (до 1929); Красноармейский (до 1947)","56.1210895","38.1457655"
"466","Красноармейск","Саратовская область","Приволжский","21350","1765","1918","Голый Карамыш (до 1925); Бальцер (до 1942)","51.025776","45.69252"
"467","Красновишерск","Пермский край","Приволжский","14460","1894","1942","Вижаиха (до 1930)","60.4054615","57.082032"
"468","Красногорск","Московская область","Центральный","187634","1932","1940","","55.8204707","37.3196942"
"469","Краснодар","Краснодарский край","Южный","1099344","1793","1867","Екатеринодар (до 1920)","45.0351532","38.9772396"
"470","Краснозаводск","Московская область","Центральный","14639","1916","1940","рабочий посёлок завода № 11 (до 1937); Возрождение (до 1938); Лесной (до 1939); Краснозаводский (до 1940)","56.440507","38.244339"
"471","Краснознаменск","Калининградская область","Северо-Западный","3419","1576","1946","Лаздинай (до 1734); Лазденен (до 1938); Хазельберг (до 1946)","54.9415225","22.4912976"
"472","Краснознаменск","Московская область","Центральный","43868","1952","1981","Голицыно-2 (до 1977)","55.5971787","37.0395057"
"473","Краснокаменск","Забайкальский край","Сибирский","51137","1967","1969","","50.096992","118.041344"
"474","Краснокамск","Пермский край","Приволжский","48778","1929","1938","Бумстрой (до 1930)","58.0833042","55.7699897"
"475","Красноперекопск","Крым","Южный","25569","1932","1966","селение при Перекопском бромном заводе (до 1938)","45.9555806","33.7975675"
"476","Краснослободск","Волгоградская область","Южный","16545","1870","1955","Букатин (до 1923); Красная Слобода (до 1955)","48.7039046","44.5557953"
"477","Краснослободск","Мордовия","Приволжский","8910","1571","1706","Красная Слобода (до 1780)","54.4306717","43.7778997"
"478","Краснотурьинск","Свердловская область","Уральский","55875","1758","1944","Турьинские рудники (до 1944)","59.764631","60.1936117"
"479","Красноуральск","Свердловская область","Уральский","21507","1925","1931","Богомолстрой (до 1929); Уралмедьстрой (до 1931)","58.357063","60.037445"
"480","Красноуфимск","Свердловская область","Уральский","37301","1736","1781","","56.6180735","57.7713452"
"481","Красноярск","Красноярский край","Сибирский","1205473","1628","1690","Новокачинский острог (до 1659); Большой острог (до 1690)","56.0091173","92.872586"
"482","Красный Кут","Саратовская область","Приволжский","14296","1837","1966","","50.9459056","46.972462"
"483","Красный Сулин","Ростовская область","Южный","35697","1797","1926","Сулин (до 1926)","47.8932048","40.0580434"
"484","Красный Холм","Тверская область","Центральный","4998","1518","1776","","58.056507","37.114731"
"485","Кремёнки","Калужская область","Центральный","11745","XVIII век","2004","","54.8865166","37.1171605"
"486","Кропоткин","Краснодарский край","Южный","75858","1879","1921","Романовский (до 1921)","45.4344413","40.5750274"
"487","Крымск","Краснодарский край","Южный","54597","1862","1958","Крымская (до 1958)","44.9295889","37.9880177"
"488","Кстово","Нижегородская область","Приволжский","63646","XIV век","1957","","56.149551","44.198032"
"489","Кубинка","Московская область","Центральный","23146","XV век","2004","","55.5755486","36.6952802"
"490","Кувандык","Оренбургская область","Приволжский","26596","XIX век","1953","","51.478756","57.350796"
"491","Кувшиново","Тверская область","Центральный","9262","1910","1938","","57.0314657","34.1796637"
"492","Кудрово","Ленинградская область","Северо-Западный","60791","1926","2018","","59.9083906","30.5126078"
"493","Кудымкар","Пермский край","Приволжский","28293","1579","1938","","59.014606","54.664135"
"494","Кузнецк","Пензенская область","Приволжский","78390","1699","1780","Труёво, Труёво-Воскресенское, Нарышкино","53.112514","46.600727"
"495","Куйбышев","Новосибирская область","Сибирский","41946","1722","1722","Каинск (до 1935)","55.4454258","78.3222294"
"496","Кукмор","Татарстан","Приволжский","17886","1741","2017","Таишевский завод","56.1865318","50.8972087"
"497","Кулебаки","Нижегородская область","Приволжский","32184","1677","1932","","55.429287","42.511879"
"498","Кумертау","Башкортостан","Приволжский","57949","1947","1953","","52.760975","55.796482"
"499","Кунгур","Пермский край","Приволжский","62673","1663","1781","","57.428844","56.944328"
"500","Купино","Новосибирская область","Сибирский","15065","1886","1944","Моховое (до 1909)","54.364929","77.30854"
"501","Курган","Курганская область","Уральский","310911","1679","1782","Царёво Городище (до 1738); Курганская слобода (до 1782)","55.4409357","65.3421169"
"502","Курганинск","Краснодарский край","Южный","47305","1855","1961","Курганная (до 1961)","44.8851635","40.5894674"
"503","Курильск","Сахалинская область","Дальневосточный","2530","XVIII век","1947","Сяна (до 1947)","45.2290413","147.8751845"
"504","Курлово","Владимирская область","Центральный","6309","1811","1998","Курловский (до 1998)","55.4550805","40.6106078"
"505","Куровское","Московская область","Центральный","19857","1646","1952","","55.5771391","38.9225824"
"506","Курск","Курская область","Центральный","440052","1032","1779","","51.7270356","36.192248"
"507","Куртамыш","Курганская область","Уральский","14806","1745","1956","","54.9095859","64.4283925"
"508","Курчалой","Чечня","Северо-Кавказский","23425","1860","2019","Чкалово (с 1944 до 1958)","43.20005","46.090786"
"509","Курчатов","Курская область","Центральный","40318","1968","1983","","51.659466","35.658863"
"510","Куса","Челябинская область","Уральский","17136","1778","1943","Кусинский завод","55.336521","59.445938"
"511","Кушва","Свердловская область","Уральский","27306","1735","1925","Кушвинский Завод (до 1926)","58.2816811","59.7625022"
"512","Кызыл","Тыва","Сибирский","125241","1914","1914","Белоцарск (до 1918); Хем-Бельдир (до 1926)","51.719079","94.4300679"
"513","Кыштым","Челябинская область","Уральский","36045","1757","1934","Верхне-Кыштымский завод, Нижне-Кыштымский завод, Кыштымский завод","55.7099215","60.5511275"
"514","Кяхта","Бурятия","Сибирский","17877","1727","1805","Троицкосавск (до 1934)","50.353176","106.44915"
"515","Лабинск","Краснодарский край","Южный","57428","1841","1947","Лабинская","44.6347953","40.7242185"
"516","Лабытнанги","Ямало-Ненецкий АО","Уральский","25501","1890","1975","","66.6615094","66.3810869"
"517","Лагань","Калмыкия","Южный","13834","1870","1963","Каспийский (с 1944 до 1991)","45.392059","47.361282"
"518","Ладушкин","Калининградская область","Северо-Западный","3666","1314","1946","Людвигсорт (до 1946)","54.5712666","20.1734409"
"519","Лаишево","Татарстан","Приволжский","9076","1557","2004","Лаишев (до 1926)","55.4043358","49.5468376"
"520","Лакинск","Владимирская область","Центральный","12861","XV век","1969","Ундол (до 1922); Лакинский (до 1969)","56.015093","39.946558"
"521","Лангепас","Ханты-Мансийский АО","Уральский","42701","1980","1985","","61.247257","75.189278"
"522","Лахденпохья","Карелия","Северо-Западный","5952","1600","1945","Якимвара, Якимварская станция (до 1918)","61.5179265","30.2038927"
"523","Лебедянь","Липецкая область","Центральный","20049","1605","1613","","53.0126146","39.127593"
"524","Лениногорск","Татарстан","Приволжский","60993","1795","1955","Новая Письмянка (до 1955)","54.5994324","52.4469099"
"525","Ленинск","Волгоградская область","Южный","13391","1802","1963","Пришиб (до 1919)","48.6941186","45.199215"
"526","Ленинск-Кузнецкий","Кемеровская область","Сибирский","92244","1763","1925","Кольчугино (до 1922); Ленино (до 1925)","54.665443","86.166115"
"527","Ленск","Якутия","Дальневосточный","21392","1663","1963","Мухтуя (до 1963)","60.7145488","114.9172123"
"528","Лермонтов","Ставропольский край","Северо-Кавказский","22444","1953","1956","населённый пункт рудоуправления № 10 (до 1954); Лермонтовский (до 1967)","44.1050468","42.9731466"
"529","Лесной","Свердловская область","Уральский","48261","1947","1954","База-9 (до 1954); Свердловск-45 (до 1994)","58.63644","59.789658"
"530","Лесозаводск","Приморский край","Дальневосточный","35433","1932","1938","","45.4653394","133.4047457"
"531","Лесосибирск","Красноярский край","Сибирский","55730","1975","1975","Маклаково, Новомаклаково","58.2165271","92.5078354"
"532","Ливны","Орловская область","Центральный","43549","1586","1586","","52.4253859","37.6089"
"533","Ликино-Дулёво","Московская область","Центральный","34191","1930","1937","","55.7043101","38.9569091"
"534","Липецк","Липецкая область","Центральный","496403","1703","1779","Липские Заводы (до 1779)","52.6041877","39.5936899"
"535","Липки","Тульская область","Центральный","8325","XVII век","1955","","53.9402404","37.7018766"
"536","Лиски","Воронежская область","Центральный","54147","XVI век","1937","Новая Покровка (до 1928); Свобода (до 1943); Георгиу-Деж (с 1965 до 1991)","50.9873813","39.4972321"
"537","Лихославль","Тверская область","Центральный","11017","1624","1925","","57.1244437","35.4665276"
"538","Лобня","Московская область","Центральный","82764","1902","1961","","56.0104473","37.4670831"
"539","Лодейное Поле","Ленинградская область","Северо-Западный","18905","1702","1785","","60.7339323","33.5457731"
"540","Лосино-Петровский","Московская область","Центральный","29000","1708","1951","Петровская слобода (до 1928)","55.8705593","38.2032701"
"541","Луга","Ленинградская область","Северо-Западный","38407","1777","1777","","58.735699","29.8475013"
"542","Луза","Кировская область","Приволжский","9122","1899","1944","","60.6306233","47.2549261"
"543","Лукоянов","Нижегородская область","Приволжский","12652","XVI век","1779","","55.034821","44.492725"
"544","Луховицы","Московская область","Центральный","29889","1594","1957","Глуховичи","54.9655573","39.0277188"
"545","Лысково","Нижегородская область","Приволжский","21657","1410","1922","","56.027885","45.038315"
"546","Лысьва","Пермский край","Приволжский","53855","1785","1926","","58.0996334","57.7964506"
"547","Лыткарино","Московская область","Центральный","65212","1429","1957","","55.5822477","37.9080217"
"548","Льгов","Курская область","Центральный","17557","1152","1779","Ольгов","51.6906587","35.2839999"
"549","Любань","Ленинградская область","Северо-Западный","4565","1499","1917","Любани","59.35","31.25"
"550","Люберцы","Московская область","Центральный","224195","1623","1925","","55.6783142","37.89377"
"551","Любим","Ярославская область","Центральный","5037","1538","1777","","58.3595618","40.6866038"
